unique_sample_ids	analysis_sample_names	mouse_id	dob	cage	unique_id_extended	box	box_location	description	mouse_strain	path_rrbs	directory_rrbs	raw_sample_names_rrbs	Experiment Name	alignment_bams_rrbs	raw_sample_names_rnaseq	raw_sample_names_rnaseq_new	Sex	Total_duration_on_diet_months	starting_control_diet_acclimation	staring_experimental_diets	original_Diet	duration_of_reversion_months	duration_of_reversion_group	current_Diet	reversal_status	reversion_date	reversal_diet	tissue	sample_notes	takedown_condition	takedown_date
olive_3_3	olive_3_3	3	3_16_2019	olive-3	olive_3_3_7_23_20	TD18	Hillside-2-A-02	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS_2	EC-CM-6649_60	Olive_3-3-M_SF_Ileum_7_23_20_S2_L003	Olive 3-3-M SF Ileum 7/23/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_3_3.bam	Olive_3-3-M_10_S56	Olive_3-3-M_10_S56	M	13	5_28_2019	6_18_2019	olive	0	NR	olive	NO	NA	NO	Ilium SF	sequencing	olive	7_23_20
olive_3_5	olive_3_5	5	3_16_2019	olive-3	olive_3_5_7_15_20	TD11	Hillside-1-A-11	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_34	Olive_3-5-M_SF_Ileum_7_15_20_S31_L002	Olive 3-5-M SF Ileum 7/15/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_3_5.bam	Olive_3-5-M_3_S100	Olive_3-5-M_3_S100	M	12	5_28_2019	6_18_2019	olive	8	late	control	YES	10/4/19	olive_to_control	Ilium SF	cryobanking	olive_rev	7_15_20
olive_4_10	olive_4_10	10	3_16_2019	olive-4	olive_4_10_7_15_20	TD11	Hillside-1-A-11	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_35	Olive_4-10-M_SF_Ileum_7_15_20_S32_L002	Olive 4-10-M SF Ileum 7/15/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_4_10.bam	Olive_4-10-M_2_S105	Olive_4-10-M_2_S105	M	12	5_28_2019	6_18_2019	olive	3	early	control	YES	4/2/20	olive_to_control	Ilium SF	cryobanking	olive_rev	7_15_20
olive_4_6	olive_4_6	6	3_16_2019	olive-4	olive_4_6_8_4_20	TD20	Hillside-2-A-04	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_67	Olive_4-6-M_SF_Ileum_8_4_20_S94_L003	Olive 4-6-M SF Ileum 8/4/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_4_6.bam	Olive_4-6-M_1_S52	Olive_4-6-M_1_S52	M	13	5_28_2019	6_18_2019	olive	0	NR	olive	NO	NA	NO	Ilium SF	sequencing	olive	8_4_20
olive_4_8	olive_4_8	8	3_16_2019	olive-4	olive_4_8_8_5_20	TD23	Hillside-2-A-07	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_75	Olive_4-8-M_SF_Ileum_8_5_20_S49_L002	Olive 4-8-M SF Ileum 8/5/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_4_8.bam	Olive_4-8-M_9_S103	Olive_4-8-M_9_S103	M	13	5_28_2019	6_18_2019	olive	9	late	control	YES	10/4/19	olive_to_control	Ilium SF	cryobanking	olive_rev	8_5_20
palm_1_2	palm_1_2	2	3_16_2019	palm-1	palm_1_2_7_20_20	TD13	Hillside-1-A-13	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_43	Palm_1-2-F_SF_Ileum_7_20_20_S40_L002	Palm 1-2-F SF Ileum 7/20/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_1_2.bam	Palm_1-2-F_10_S109	Palm_1-2-F_10_S109	F	13	5_28_2019	6_18_2019	palm	9	late	control	YES	10/4/19	palm_to_control	Ilium SF	cyrobanking	palm_rev	7_20_20
palm_1_3	palm_1_3	3	3_16_2019	palm-1	palm_1_3_8_5_20	TD22	Hillside-2-A-06	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_74	Palm_1-3-F_SF_Ileum_8_5_20_S101_L003	Palm 1-3-F SF Ileum 8/5/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_1_3.bam	Palm_1-3-F_8_S50	Palm_1-3-F_8_S50	F	13	5_28_2019	6_18_2019	palm	0	NR	palm	NO	NA	NO	Ilium SF	cryobanking	palm	8_5_20
palm_1_5	palm_1_5	5	3_16_2019	palm-1	palm_1_5_7_20_20	TD13	Hillside-1-A-13	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_42	Palm_1-5-F_SF_Ileum_7_20_20_S39_L002	Palm 1-5-F SF Ileum 7/20/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_1_5.bam	Palm_1-3-F_9_S46	Palm_1-5-F_9_S46	F	13	5_28_2019	6_18_2019	palm	0	NR	palm	NO	NA	NO	Ilium SF	cyrobanking	palm	7_20_20
palm_2_10	palm_2_10	10	3_16_2019	palm-2	palm_2_10_7_20_20	TD13	Hillside-1-A-13	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_44	Palm_2-10-F_SF_Ileum_7_20_20_S41_L002	Palm 2-10-F SF Ileum 7/20/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_2_10.bam	Palm_2-10-F_11_S4	Palm_2-10-F_11_S4	F	13	5_28_2019	6_18_2019	palm	4	early	control	YES	4/2/20	palm_to_control	Ilium SF	cyrobanking	palm_rev	7_20_20
palm_2_6	palm_2_6	6	3_16_2019	palm-2	palm_2_6_8_10_20	TD29	Hillside-2-A-13	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_95	Palm_2-6-F_SF_Ileum_8_11_20_S121_L003	Palm 2-6-F SF Ileum 8/11/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_2_6.bam	Palm_2-6-F_13_S6	Palm_2-6-F_13_S6	F	13	5_28_2019	6_18_2019	palm	9	late	control	YES	10/4/19	palm_to_control	Ilium SF	cryobanking	palm_rev	8_10_20
palm_2_7	palm_2_7	7	3_16_2019	palm-2	palm_2_7_8_10_20	TD29	Hillside-2-A-13	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_96	Palm_2-7-F_SF_Ileum_8_10_20_S122_L003	Palm 2-7-F SF Ileum 8/10/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_2_7.bam	Palm_2-7-F_8_10_20_14_S44	Palm_2-7-F_8_10_20_14_S44	F	13	5_28_2019	6_18_2019	palm	0	NR	palm	NO	NA	NO	Ilium SF	cryobanking	palm	8_10_20
palm_2_8	palm_2_8	8	3_16_2019	palm-2	palm_2_8_8_6_20	TD24	Hillside-2-A-08	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_78	Palm_2-8-F_SF_Ileum_8_6_20_S104_L003	Palm 2-8-F SF Ileum 8/6/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_2_8.bam	Palm_2-8-F_12_S55	Palm_2-8-F_12_S55	F	13	5_28_2019	6_18_2019	palm	0	NR	palm	NO	NA	NO	Ilium SF	cryobanking	palm	8_6_20
palm_3_2	palm_3_2	2	3_16_2019	palm-3	palm_3_2_8_4_20	TD20	Hillside-2-A-04	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_66	Palm_3-2-M_SF_Ileum_8_4_20_S93_L003	Palm 3-2-M SF Ileum 8/4/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_3_2.bam	Palm_3-2-M_16_S45	Palm_3-2-M_16_S45	M	13	5_28_2019	6_18_2019	palm	0	NR	palm	NO	NA	NO	Ilium SF	sequencing	palm	8_4_20
palm_3_3	palm_3_3	3	3_16_2019	palm-3	palm_3_3_8_5_20	TD22	Hillside-2-A-06	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_73	Palm_3-3-M_SF_Ileum_8_5_20_S100_L003	Palm 3-3-M SF Ileum 8/5/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_3_3.bam	Palm_3-3-M_7_S3	Palm_3-3-M_7_S3	M	13	5_28_2019	6_18_2019	palm	4	early	control	YES	4/2/20	palm_to_control	Ilium SF	cryobanking	palm_rev	8_5_20
palm_3_4	palm_3_4	4	3_16_2019	palm-3	palm_3_4_8_5_20	TD22	Hillside-2-A-06	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_72	Palm_3-4-M_SF_Ileum_8_5_20_S99_L003	Palm 3-4-M SF Ileum 8/5/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_3_4.bam	Palm_3-4-M_6_S7	Palm_3-4-M_6_S7	M	13	5_28_2019	6_18_2019	palm	9	late	control	YES	10/4/19	palm_to_control	Ilium SF	cryobanking	palm_rev	8_5_20
palm_3_5	palm_3_5	5	3_16_2019	palm-3	palm_3_5_8_7_20	TD27	Hillside-2-A-11	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_100	Palm_3-5-M_SF_Ileum_8_7_20_S124_L003	Palm 3-5-M SF Ileum 8/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_3_5.bam	Palm_3-5-M_2_S1	Palm_3-5-M_2_S1	M	13	5_28_2019	6_18_2019	palm	4	early	control	YES	4/2/20	palm_to_control	Ilium SF	cryobanking	palm_rev	8_7_20
palm_4_10	palm_4_10	10	3_16_2019	palm-4	palm_4_10_8_7_20	TD27	Hillside-2-A-11	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_99	Palm_4-10-M_SF_Ileum_8_7_20_S123_L003	Palm 4-10-M SF Ileum 8/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_4_10.bam	Palm_4-10-M_1_S5	Palm_4-10-M_1_S5	M	13	5_28_2019	6_18_2019	palm	9	late	control	YES	10/4/19	palm_to_control	Ilium SF	cryobanking	palm_rev	8_7_20
palm_4_6	palm_4_6	6	3_16_2019	palm-4	palm_4_6_7_23_20	TD18	Hillside-2-A-02	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS_2	EC-CM-6649_59	Palm_4-6-M_SF_Ileum_7_23_20_S1_L003	Palm 4-6-M SF Ileum 7/23/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_4_6.bam	Palm_4-6-M_9_S51	Palm_4-6-M_9_S51	M	13	5_28_2019	6_18_2019	palm	0	NR	palm	NO	NA	NO	Ilium SF	sequencing	palm	7_23_20
palm_4_8	palm_4_8	8	3_16_2019	palm-4	palm_4_8_8_7_20	TD27	Hillside-2-A-11	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_86	Palm_4-8-M_SF_Ileum_8_7_20_S112_L003	Palm 4-8-M SF Ileum 8/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_palm_4_8.bam	Palm_4-8-M_4_S2	Palm_4-8-M_4_S2	M	13	5_28_2019	6_18_2019	palm	4	early	control	YES	4/2/20	palm_to_control	Ilium SF	cryobanking	palm_rev	8_7_20
